GameID,Season,Week,Team,Location,Winner,Win,Dorsal,PlayerID,Name,Min,Seconds,Game_Poss,PTS,VAL,T2_M,T2_A,T3_M,T3_A,FT_M,FT_A,Reb_O,Reb_D,Reb_T,AST,STL,TO,BLK,PF,PF_R,+/-,+/-_40,GmSc,TS%,eFG%,USG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,PPM,PP2P,PP3P,PPFG,PPPOS,Sh%_2P,Sh%_3P,Sh%_FG
105312,2025,Cuartos de Final,VBC,HOME,VBC,1,0,30000107,B. Badio,18:32,1112,79.4,21,22,3,6,3,7,6,8,1,4,5,2,1,1,1,2,6,7,15.1,16.7,63.6,57.7,40.7,53.8,61.5,5.3,20.1,12.8,25.3,2.7,4.9,5.7,1.13,1.0,1.29,1.15,1.2,36.0,44.4,40.1
105312,2025,Cuartos de Final,VBC,HOME,VBC,1,1,30001981,K. Taylor,24:57,1497,79.4,6,10,0,0,2,3,0,1,2,1,3,2,0,1,1,2,3,6,9.6,6.3,87.2,100.0,7.7,100.0,33.3,7.8,3.7,5.7,12.0,0.0,3.6,22.5,0.24,0.0,2.0,2.0,1.35,0.0,14.1,6.9
105312,2025,Cuartos de Final,VBC,HOME,VBC,1,3,30002724,N. Reuvers,22:59,1379,79.4,10,13,2,4,2,3,0,0,1,6,7,0,0,1,0,1,1,6,10.4,7.8,71.4,71.4,15.0,42.9,0.0,4.2,24.3,14.5,0.0,0.0,0.0,12.5,0.44,1.0,2.0,1.43,1.25,19.3,15.4,17.4
105312,2025,Cuartos de Final,VBC,HOME,VBC,1,4,20211129,J. Pradilla,17:27,1047,79.4,15,19,1,3,3,5,4,5,2,4,6,2,0,1,0,1,3,0,0.0,13.2,73.5,68.8,27.6,62.5,62.5,11.2,21.3,16.4,22.0,0.0,0.0,8.9,0.86,0.67,1.8,1.38,1.34,19.1,33.7,26.2
105312,2025,Cuartos de Final,VBC,HOME,VBC,1,13,30001900,D. Thompson,20:54,1254,79.4,2,0,1,4,0,3,0,0,0,3,3,3,0,1,0,2,1,9,17.2,-1.3,14.3,14.3,16.5,42.9,0.0,0.0,13.4,6.8,20.4,0.0,0.0,12.5,0.1,0.5,0.0,0.29,0.25,21.3,16.9,19.1
105312,2025,Cuartos de Final,VBC,HOME,VBC,1,2,20210392,J. Puerto,15:56,956,79.4,3,2,0,0,1,3,0,0,0,2,2,1,0,1,0,1,0,4,10.0,1.2,50.0,50.0,10.8,100.0,0.0,0.0,11.7,6.0,9.1,0.0,0.0,25.0,0.19,0.0,1.0,1.0,0.75,0.0,22.2,10.8
105312,2025,Cuartos de Final,VBC,HOME,VBC,1,5,30001360,S. de Larrea,14:46,886,79.4,7,2,1,4,1,2,2,2,1,0,1,2,0,1,0,2,1,7,19.0,3.9,50.9,41.7,23.0,33.3,33.3,6.6,0.0,3.2,22.0,0.0,0.0,12.7,0.47,0.5,1.5,0.83,0.89,30.1,15.9,23.2
105312,2025,Cuartos de Final,VBC,HOME,VBC,1,6,20211660,López-Arostegui,02:54,174,79.4,0,-2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,13.8,-1.1,0.0,0.0,14.9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.6,19.7
105312,2025,Cuartos de Final,VBC,HOME,VBC,1,7,30004884,B. Key,18:14,1094,79.4,8,13,1,3,1,1,3,4,5,2,7,1,2,2,1,3,2,12,26.3,9.9,69.4,62.5,18.3,25.0,100.0,26.8,10.2,18.3,8.6,5.5,5.0,25.8,0.44,0.67,3.0,1.25,1.03,18.3,6.5,12.5
105312,2025,Cuartos de Final,VBC,HOME,VBC,1,8,30000514,J. Montero,23:16,1396,79.4,19,23,5,9,1,4,6,6,1,3,4,3,1,1,1,3,6,-2,-3.4,15.5,60.7,50.0,30.8,30.8,46.2,4.2,12.0,8.2,26.2,2.2,3.9,6.0,0.82,1.11,0.75,1.0,1.14,43.0,20.2,31.9
105312,2025,Cuartos de Final,VBC,HOME,VBC,1,12,30003973,N. Sako,13:34,814,79.4,4,7,2,3,0,0,0,1,0,4,4,1,0,0,1,2,1,8,23.6,4.1,58.1,66.7,10.9,0.0,33.3,0.0,27.4,14.0,12.2,0.0,6.7,0.0,0.29,1.33,0.0,1.33,1.16,24.6,0.0,12.6
